nid	mid	fields
1577742895137	1577652741654	jIv jIvati	P1. live,survive
1577742895138	1577652741654	tyaj tyajati	P1. abandon,leave
1577742895139	1577652741654	dah dahati	P1. burn
1577742895140	1577652741654	dru dravati	P1. run,melt
1577742895141	1577652741654	DAv DAvati-DAvate	U1. run,wash
1577742895142	1577652741654	nam namati	P1. salute,bow
1577742895143	1577652741654	nI nayati-nayate	U1. lead
1577742895144	1577652741654	pac pacati-pacate	U1. cook
1577742895145	1577652741654	pat patati	P1. fall
1577742895146	1577652741654	buD boDati-boDate	U1. know
1577742895147	1577652741654	BU Bavati	P1. be,become
1577742895148	1577652741654	Bram Bramati	P1. walk,roam
1577742895149	1577652741654	yaj yajati-yajate	U1. sacrifice
1577742895150	1577652741654	rakz rakzati	P1. protect
1577742895151	1577652741654	ruh rohati	P1. grow
1577742895152	1577652741654	vad vadati	P1. speak,talk
1577742895153	1577652741654	vap vapati-vapate	U1. sow
1577742895154	1577652741654	vas vasati	P1. dwell
1577742895155	1577652741654	vah vahati-vahate	U1. carry,flow
1577742895156	1577652741654	vraj vrajati	P1. go
1577742895157	1577652741654	SaMs SaMsati	P1. praise
1577742895158	1577652741654	sf sarati	P1. go
1577742895159	1577652741654	smf smarati	P1. remember
1577742895160	1577652741654	aSvaH	m. horse
1577742895161	1577652741654	AcAraH	m. conduct
1577742895162	1577652741654	kapotaH	m. pigeon
1577742895163	1577652741654	karaH	m. hand
1577742895164	1577652741654	kAkaH	m. crow
1577742895165	1577652741654	grAmaH	m. village
1577742895166	1577652741654	janaH	m. person
1577742895167	1577652741654	dAsaH	m. servant
1577742895168	1577652741654	deSaH	m. country
1577742895169	1577652741654	naraH	m. man
1577742895170	1577652741654	nfpaH	m. king
1577742895171	1577652741654	parvataH	m. mountain
1577742895172	1577652741654	bAlaH	m. boy
1577742895173	1577652741654	meGaH	m. cloud
1577742895174	1577652741654	vfkzaH	m. tree
1577742895175	1577652741654	annam	n. food
1577742895176	1577652741654	inDanam	n. fuel
1577742895177	1577652741654	kanakam	n. gold
1577742895178	1577652741654	kamalam	n. lotus
1577742895179	1577652741654	jalam	n. water
1577742895180	1577652741654	tfRam	n. grass
1577742895181	1577652741654	duHKam	n. misery
1577742895182	1577652741654	patram	n. leaf
1577742895183	1577652741654	pAtram	n. vessel
1577742895184	1577652741654	Palam	n. fruit
1577742895185	1577652741654	SarIram	n. body
1577742895186	1577652741654	SAstram	n. sacred precept
1577742895187	1577652741654	SIlam	n. character
1577742895188	1577652741654	suKam	n. happiness
1577742895189	1577652741654	sTAnam	n. place
1577742895190	1577652741654	aBitaH	ind. near,in front of (+Accusative)
1577742895191	1577652741654	paritaH	ind. around (+Accusative)
1577742895192	1577652741654	sarvataH	ind. on all sides of (+Accusative)
1577742895193	1577652741654	uBayataH	ind. on both sides of (+Accusative)
1577742895194	1577652741654	Dik	ind. fie on (+Accusative)
1577742895195	1577652741654	samayA	ind. near (+Accusative)
1577742895196	1577652741654	nikazA	ind. near (+Accusative)
1577742895197	1577652741654	vinA	ind. without (+Accusative)
1577742895198	1577652741654	antareRa	ind. without (+Accusative)
1577742895199	1577652741654	ati	ind. above (+Accusative)
1577742895200	1577652741654	anu	ind. after, according to, along (+Accusative)
1577742895201	1577652741654	aBi	ind. near (+Accusative)
1577742895202	1577652741654	prati	ind. to,towards (+Accusative)
1577742895203	1577652741654	antarA	ind. between (+Accusative)
1577742895204	1577652741654	upa	ind. near,below (+Accusative)
1577742895205	1577652741654	as asyati	P4. throw
1577742895206	1577652741654	tuz tuzyati	P4. be pleased
1577742895207	1577652741654	naS naSyati	P4. perish,be destroyed
1577742895208	1577652741654	nft nftyati	P4. dance
1577742895209	1577652741654	puz puzyati	P1. nourish
1577742895210	1577652741654	muh muhyati	P4. faint
1577742895211	1577652741654	BraMS BraSyati	P4. fall
1577742895212	1577652741654	daMS daSati	P1. bite
1577742895213	1577652741654	nind nindati	P1. blame
1577742895214	1577652741654	div dIvyati	P4. play
1577742895215	1577652741654	Sam SAmyati	P4. cease, be quiet
1577742895216	1577652741654	kzam kzAmyati	P4. forgive,bear
1577742895217	1577652741654	Sram SrAmyati	P4. be weary,be tired
1577742895218	1577652741654	mad mAdyati	P4. rejoice, be glad
1577742895219	1577652741654	vyaD viDyati	P4. pierce
1577742895220	1577652741654	Bram BrAmyati	P4. roam,err
1577742895221	1577652741654	DmA Damati	P1. blow
1577742895222	1577652741654	hf harati-harate	U1. take away
1577742895223	1577652741654	gam gacCati	P1. go
1577742895224	1577652741654	yam yacCati	P1. restrain
1577742895225	1577652741654	dA yacCati	P1. give
1577742895226	1577652741654	guh gUhati-gUhate	U1. hide
1577742895227	1577652741654	sad sIdati	P1. sit
1577742895228	1577652741654	GrA jiGrati	P1. smell
1577742895229	1577652741654	pA pibati	P1. drink
1577742895230	1577652741654	sTA tizWati	P1. stand
1577742895231	1577652741654	dfS paSyati	P1. see
1577742895232	1577652741654	kUpaH	m. well
1577742895233	1577652741654	gajaH	m. elephant
1577742895234	1577652741654	candraH	m. moon
1577742895235	1577652741654	prAsAdaH	m. palace
1577742895236	1577652741654	hradaH	m. lake
1577742895237	1577652741654	kusumam	n. flower
1577742895238	1577652741654	jIvanam	n. life
1577742895239	1577652741654	Danam	n. wealth
1577742895240	1577652741654	vanam	n. forest
1577742895241	1577652741654	SIrzam	n. head
1577742895242	1577652741654	na	ind. not
1577742895243	1577652741654	ca	ind. and
1577742895244	1577652741654	kfz kfzati	P6. to plough
1577742895245	1577652741654	kzip kzipati	P6. to throw
1577742895246	1577652741654	tud tudati	P6. to strike
1577742895247	1577652741654	diS diSati	P6. to show
1577742895248	1577652741654	liK liKati	P6. to write
1577742895249	1577652741654	viS viSati	P6. to enter
1577742895250	1577652741654	sfj sfjati	P6. to create
1577742895251	1577652741654	spfS spfSati	P6. to touch
1577742895252	1577652741654	kft kfntati	P6. to cut
1577742895253	1577652741654	muc muYcati	P6. to release
1577742895254	1577652741654	lup lumpati	P6. to break
1577742895255	1577652741654	lip limpati	P6. to anoint
1577742895256	1577652741654	vid vindati	P6. to find
1577742895257	1577652741654	sic siYcati	P6. to sprinkle
1577742895258	1577652741654	iz icCati	P6. to wish
1577742895259	1577652741654	pracC pfcCati	P6. to ask
1577742895260	1577652741654	has hasati	P6. to laugh
1577742895261	1577652741654	hve hvayati	P6. to call
1577742895262	1577652741654	anilaH	m. wind
1577742895263	1577652741654	BAraH	m. burden
1577742895264	1577652741654	vIraH	m. hero
1577742895265	1577652741654	SfgAlaH	m. jackal
1577742895266	1577652741654	haMsaH	m. swan
1577742895267	1577652741654	gfham	n. house
1577742895268	1577652741654	tIram	n. bank
1577742895269	1577652741654	BUzaRam	n. ornament
1577742895270	1577652741654	ratnam	n. jewel
1577742895271	1577652741654	saha	with (+Instrumental)
1577742895272	1577652741654	vinA	without (+Instrumental)
1577742895273	1577652741654	alam	enough (+Instrumental)
1577742895274	1577652741654	kftam	enough (+Instrumental)
1577742895275	1577652741654	namaH	m. salutation to (+Dative)
1577742895276	1577652741654	svasti	hail to (+Dative)
1577742895277	1577652741654	agniH	fire
1577742895278	1577652741654	atiTiH	guest
1577742895279	1577652741654	ariH	enemy
1577742895280	1577652741654	kaviH	poet
1577742895281	1577652741654	giriH	mountain
1577742895282	1577652741654	muniH	sage
1577742895283	1577652741654	raviH	sun
1577742895284	1577652741654	rASiH	heap
1577742895285	1577652741654	udaDiH	ocean
1577742895286	1577652741654	kaliH	quarrel
1577742895287	1577652741654	induH	moon
1577742895288	1577652741654	izuH	arrow
1577742895289	1577652741654	guruH	teacher
1577742895290	1577652741654	taruH	tree
1577742895291	1577652741654	paraSuH	axe
1577742895292	1577652741654	paSuH	beast
1577742895293	1577652741654	banDuH	friend
1577742895294	1577652741654	bAhuH	arm
1577742895295	1577652741654	binduH	drop
1577742895296	1577652741654	SiSuH	baby
1577742895297	1577652741654	prAk	before,to the east (+Ablative)
1577742895298	1577652741654	pUrvam	before (+Ablative)
1577742895299	1577652741654	anantaram	after (+Ablative)
1577742895300	1577652741654	A	until,up to (+Ablative)
1577742895301	1577652741654	praBfti	since (+Ablative)
1577742895302	1577652741654	bahiH	outside (+Ablative)
1577742895303	1577652741654	fte	except,without (+Ablative)
1577742895304	1577652741654	vinA	without (+Ablative)
1577742895305	1577652741654	upari	above (+Genitive)
1577742895306	1577652741654	aDaH	m. below (+Genitive)
1577742895307	1577652741654	purataH	m. in front of (+Genitive)
1577742895308	1577652741654	paScAt	behind (+Genitive)
1577742895309	1577652741654	agre	in the presence of (+Genitive)
1577742895310	1577652741654	parataH	m. beyond (+Genitive)
1577742895311	1577652741654	samakzam	in the presence of (+Genitive)
1577742895312	1577652741654	kfte	for the sake of (+Genitive)
1577742895313	1577652741654	kaT kaTayati	P10. to tell
1577742895314	1577652741654	kzal kzAlayati	P10. to wash
1577742895315	1577652741654	gaR gaRayati	P10. to count
1577742895316	1577652741654	Guz Gozayati	P10. to proclaim
1577742895317	1577652741654	cint cintayati	P10. to think
1577742895318	1577652741654	cur corayati	P10. to steal
1577742895319	1577652741654	Cad CAdayati	P10. to cover
1577742895320	1577652741654	daRq daRqayati	P10. to punish
1577742895321	1577652741654	Df DArayati	P10. to owe
1577742895322	1577652741654	pAl pAlayati	P10. to protect
1577742895323	1577652741654	pIq pIqayati	P10. to oppress
1577742895324	1577652741654	pUj pUjayati	P10. to adore
1577742895325	1577652741654	Bakz Bakzayati	P10. to eat
1577742895326	1577652741654	BUz BUzayati	P10. to adorn
1577742895327	1577652741654	rac racayati	P10. to arrange
1577742895328	1577652741654	sAntv sAntvayati	P10. to console
1577742895329	1577652741654	spfh spfhayati	P10. to long for (+Dative)
1577742895330	1577652741654	ati-kram atikrAmyati	P4. to cross
1577742895331	1577652741654	aDi-gam aDigacCati	P1. to obtain
1577742895332	1577652741654	anu-sf anusarati	P1. to follow
1577742895333	1577652741654	apa-car apacarati	P1. to depart
1577742895334	1577652741654	aBi-DAv aBiDAvati	P1. to attack
1577742895335	1577652741654	ava-dah avadahati	P1. to burn down
1577742895336	1577652741654	A-nI Anayati	P1. to bring
1577742895337	1577652741654	ud-BU udBavati	P1. to arise
1577742895338	1577652741654	upa-viS upaviSati	P6. to sit
1577742895339	1577652741654	ati	ind. over, beyond
1577742895340	1577652741654	aDi	near,unto
1577742895341	1577652741654	anu	after,along
1577742895342	1577652741654	apa	away from
1577742895343	1577652741654	aBi	towards
1577742895344	1577652741654	ava	down
1577742895345	1577652741654	A	unto,back
1577742895346	1577652741654	ud	up,forth
1577742895347	1577652741654	upa	near
1577742895348	1577652741654	ni	under
1577742895349	1577652741654	nis	away,out
1577742895350	1577652741654	pari	round,about
1577742895351	1577652741654	pra	forward
1577742895352	1577652741654	prati	towards,against
1577742895353	1577652741654	vi	apart,without
1577742895354	1577652741654	sam	together,fully
1577742895355	1577652741654	ISvaraH	m. God
1577742895356	1577652741654	putraH	m. son
1577742895357	1577652741654	guRaH	m. virtue
1577742895358	1577652741654	lokaH	m. world
1577742895359	1577652741654	vinayaH	m. modesty
1577742895360	1577652741654	janakaH	m. father
1577742895361	1577652741654	AkASaH	m. sky
1577742895362	1577652741654	AgamaH	m. arrival
1577742895363	1577652741654	prasAdaH	m. favor
1577742895364	1577652741654	Arogyam	n. health
1577742895365	1577652741654	kAvyam	n. poem
1577742895366	1577652741654	dEvam	n. fate
1577742895367	1577652741654	balam	n. strength
1577742895368	1577652741654	mAMsam	n. meat
1577742895369	1577652741654	mitram	n. friend
1577742895370	1577652741654	vacanam	n. saying
1577742895371	1577652741654	sOndaryam	n. beauty
1577742895372	1577652741654	halam	n. plough
1577742895373	1577652741654	aliH	bee
1577742895374	1577652741654	kapiH	monkey
1577742895375	1577652741654	nfpatiH	king
1577742895376	1577652741654	fziH	seer
1577742895377	1577652741654	DvaniH	sound
1577742895378	1577652741654	niDiH	treasure
1577742895379	1577652741654	pARiH	hand
1577742895380	1577652741654	viDiH	fate
1577742895381	1577652741654	raSmiH	ray
1577742895382	1577652741654	vAyuH	wind
1577742895383	1577652741654	mftyuH	death
1577742895384	1577652741654	praBuH	lord,master
1577742895385	1577652741654	SatruH	enemy
1577742895386	1577652741654	hetuH	cause
1577742895387	1577652741654	sADuH	honest man
1577742895388	1577652741654	raGuH	Raghu
1577742895389	1577652741654	ni-kzip nikzipati	P6. to put down
1577742895390	1577652741654	nir-vah nirvahati	P1. to carry out
1577742895391	1577652741654	pari-pat paripatati	P1. to fly round
1577742895392	1577652741654	prati-gam pratigacCati	P1. to return
1577742895393	1577652741654	vi-as vyasyati	P4. to scatter
1577742895394	1577652741654	sam-kzip saMkzipati	P1. to shorten
1577742895395	1577652741654	atra	ind. here
1577742895396	1577652741654	tatra	ind. there
1577742895397	1577652741654	eva	just,only
1577742895398	1577652741654	adya	ind. today
1577742895399	1577652741654	aDunA	ind. now
1577742895400	1577652741654	iva	ind. like
1577742895401	1577652741654	evam	ind. thus
1577742895402	1577652741654	api	ind. even
1577742895403	1577652741654	na kadApi	ind. never
1577742895404	1577652741654	sadA	ind. always
1577742895405	1577652741654	gaNgA	f. the Ganges
1577742895406	1577652741654	ramBA	f. plantain-tree
1577742895407	1577652741654	mudrA	f. seal,coin
1577742895408	1577652741654	SoBA	f. splendour
1577742895409	1577652741654	BAryA	f. wife
1577742895410	1577652741654	CAyA	f. shade
1577742895411	1577652741654	sanDyA	f. twilight
1577742895412	1577652741654	BAzA	f. speech
1577742895413	1577652741654	saBA	f. assembly
1577742895414	1577652741654	reKA	f. line
1577742895415	1577652741654	mAlA	f. garland
1577742895416	1577652741654	latA	f. creeper
1577742895417	1577652741654	bAlikA	f. girl
1577742895418	1577652741654	nagarI	f. town
1577742895419	1577652741654	nadI	f. river
1577742895420	1577652741654	DAtrI	f. nurse
1577742895421	1577652741654	pfTivI	f. earth
1577742895422	1577652741654	vARI	f. voice
1577742895423	1577652741654	rAjYI	f. queen
1577742895424	1577652741654	siMhI	f. lioness
1577742895425	1577652741654	jananI	f. mother
1577742895426	1577652741654	nArI	f. woman
1577742895427	1577652741654	patnI	f. wife
1577742895428	1577652741654	BaginI	f. sister
1577742895429	1577652741654	gfhiRI	f. housewife
1577742895430	1577652741654	SarvarI	f. night
1577742895431	1577652741654	Ikz Ikzate	A1. to see
1577742895432	1577652741654	kamp kampate	A1. to tremble
1577742895433	1577652741654	gAh gAhate	A1. to dive
1577742895434	1577652741654	jan jAyate	A1. to be born
1577742895435	1577652741654	qI qIyate	A1. to fly
1577742895436	1577652741654	man manyate	A4. to think
1577742895437	1577652741654	yuD yuDyate	A4. to fight
1577742895438	1577652741654	ruc rocate	A1. to please
1577742895439	1577652741654	mantr mantrayate	A10. consult
1577742895440	1577652741654	mfg mfgayate	A10. to search
1577742895441	1577652741654	vi-ji vijayate	A1. to conquer
1577742895442	1577652741654	parA-ji parAjayate	A1. to defeat
1577742895443	1577652741654	A-pracC ApfcCate	A6. to take leave of (+Accusative)
1577742895444	1577652741654	kf karoti	P8. to do, to make
1577742895445	1577652741654	vi-vad vivadate	A1. to disagree
1577742895446	1577652741654	vft vartate	A1. to exist
1577742895447	1577652741654	ni-vft ni-vartate	A1. to desist from
1577742895448	1577652741654	upa-gam upagacCati	P1. to approach
1577742895449	1577652741654	vi-sad vizIdati	P1to be sad
1577742895450	1577652741654	aDi-sTA aDitizWati	P1. to live in (+Accusative)
1577742895451	1577652741654	pari-nI pariRayati	P1. to marry
1577742895452	1577652741654	aBi-ni-viS aBiniviSate	A6. to resort to (+Accusative)
1577742895453	1577652741654	A-df Adriyate	A6. to respect
1577742895454	1577652741654	BAz BAzate	A1. to speak
1577742895455	1577652741654	A-raB AraBate	A1. to begin
1577742895456	1577652741654	laB laBate	A1. to obtain
1577742895457	1577652741654	matiH	f. mind
1577742895458	1577652741654	SaktiH	f. power
1577742895459	1577652741654	BaktiH	f. devotion
1577742895460	1577652741654	tfptiH	f. satisfaction
1577742895461	1577652741654	nItiH	f. conduct
1577742895462	1577652741654	keliH	f. jest
1577742895463	1577652741654	BUmiH	f. earth
1577742895464	1577652741654	DUliH	f. dust
1577742895465	1577652741654	rAtriH	f. night
1577742895466	1577652741654	DenuH	f. cow
1577742895467	1577652741654	caYcuH	f. beak
1577742895468	1577652741654	tanuH	f. body
1577742895469	1577652741654	rajjuH	f. rope
1577742895470	1577652741654	reRuH	f. dust,pollen
1577742895471	1577652741654	hanuH	f. jaw
1577742895472	1577652741654	kAryam	n. work
1577742895473	1577652741654	GawaH	m. jar
1577742895474	1577652741654	AdeSaH	m. order
1577742895475	1577652741654	SIrze karomi	I place on my head
1577742895476	1577652741654	kare karomi	I take in my hand
1577742895477	1577652741654	kzaRaM karomi	I wait one moment
1577742895478	1577652741654	matiM karomi	I turn my mind to (+Locative)
1577742895479	1577652741654	padaM karomi	I set foot on (+Locative)
1577742895480	1577652741654	dAtf dAtA	m. donor
1577742895481	1577652741654	kartf kartA	m. doer
1577742895482	1577652741654	netf netA	m. leader
1577742895483	1577652741654	Srotf SrotA	m. hearer
1577742895484	1577652741654	savitf savitA	m. sun
1577742895485	1577652741654	jetf jetA	m. conqueror
1577742895486	1577652741654	naptf naptA	m. grandson
1577742895487	1577652741654	pitf pitA	m. father
1577742895488	1577652741654	BrAtf BrAtA	m. brother
1577742895489	1577652741654	jAmAtf jAmAtA	m. son-in-law
1577742895490	1577652741654	duhitf duhitA	f. daughter
1577742895491	1577652741654	mAtf mAtA	f. mother
1577742895492	1577652741654	nanAMdf nanAMdA	f. sister-in-law
1577742895493	1577652741654	svasf svasA	f. sister
1577742895494	1577652741654	raTaH	m. chariot
1577742895495	1577652741654	SaWaH	m. rogue
1577742895496	1577652741654	udyAnam	n. garden
1577742895497	1577652741654	svasti	hail ! (+Dative)
1577742895498	1577652741654	punar punaH	m. again
1577742895499	1577652741654	prAtar prAtaH	m. early morning
1577742895500	1577652741654	kroDaH	m. anger
1577742895501	1577652741654	loBaH	m. greed
1577742895502	1577652741654	kAmaH	m. desire
1577742895503	1577652741654	mohaH	m. illusion
1577742895504	1577652741654	nASaH	m. destruction
1577742895505	1577652741654	pApam	n. sin
1577742895506	1577652741654	kAraRam	n. cause
1577742895507	1577652741654	praBU praBavati	P1. to arise, to be produced
1577742895508	1577652741654	pravft pravartate	A1. to proceed
1577742895509	1577652741654	KaRq KaRqayati	P10. to break
1577742895510	1577652741654	vaDUH	f. bride
1577742895511	1577652741654	camUH	f. army
1577742895512	1577652741654	SvaSrUH	f.mother-in-law
1577742895513	1577652741654	asiH	m. sword
1577742895514	1577652741654	ASramaH	m. hermitage
1577742895515	1577652741654	OzaDam	n. medicine
1577742895516	1577652741654	kzetram	n. field
1577742895517	1577652741654	vidyA	f. knowledge
1577742895518	1577652741654	yadi	if
1577742895519	1577652741654	ekadA	once upon a time
1577742895520	1577652741654	tArA	f. star
1577742895521	1577652741654	dAsI	f. maid-servant
1577742895522	1577652741654	durjanaH	m. wicked person
1577742895523	1577652741654	netram	n. eye
1577742895524	1577652741654	pustakam	n. book
1577742895525	1577652741654	Bayam	n. fear
1577742895526	1577652741654	satyam	n. truth
1577742895527	1577652741654	kintu	but
1577742895528	1577652741654	taq tAqayati	P10. to beat
1577742895529	1577652741654	kup kupyati	P4. to be angry (+Dative)
1577742895530	1577652741654	kxp kalpate	A1. to be fit for (+Dative)
1577742895531	1577652741654	ava-gam avagacCati	P1. to know
1577742895532	1577652741654	ud-sTA uttizWati	P1. to rise
1577742895533	1577652741654	tul tolayati	P10. to weigh
1577742895534	1577652741654	A-diS AdiSati	P6. to order, to command
1577742895535	1577652741654	pra-buD praboDati	P1. to wake up
1577742895536	1577652741654	mf mriyate	P6. to die
1577742895537	1577652741654	as asti	P2. to be
1577742895538	1577652741654	vAri	n. water
1577742895539	1577652741654	maDu	n. honey
1577742895540	1577652741654	aSru	n. tear
1577742895541	1577652741654	ambu	n. water
1577742895542	1577652741654	jAnu	n. knee
1577742895543	1577652741654	vastu	n. thing
1577742895544	1577652741654	dAru	n. wood
1577742895545	1577652741654	anDa	mfn. blind
1577742895546	1577652741654	udAra	mfn. generous
1577742895547	1577652741654	kARa	mfn. one-eyed
1577742895548	1577652741654	kuSala	mfn. skilful
1577742895549	1577652741654	kftrima	mfn. artificial
1577742895550	1577652741654	kfpaRa	mfn. wretched
1577742895551	1577652741654	kzudra	mfn. small,mean
1577742895552	1577652741654	KaYja	mfn. lame
1577742895553	1577652741654	tIvra	mfn. sharp,acute
1577742895554	1577652741654	durlaBa	mfn. difficult to get
1577742895555	1577652741654	nava	mfn. new
1577742895556	1577652741654	nitya	mfn. regular,obligatory
1577742895557	1577652741654	prasanna	mfn. favorable, clear
1577742895558	1577652741654	pIna	mfn. fat
1577742895559	1577652741654	mfta	mfn. dead
1577742895560	1577652741654	vfdDa	mfn. old
1577742895561	1577652741654	vyADita	mfn. sick
1577742895562	1577652741654	hata	mfn. killed
1577742895563	1577652741654	suganDi	mfn. sweet-smelling
1577742895564	1577652741654	suraBi	mfn. fragrant
1577742895565	1577652741654	Suci	mfn. pure
1577742895566	1577652741654	bahu	mfn. much,many
1577742895567	1577652741654	sADu	mfn. virtuous
1577742895568	1577652741654	ASu	mfn. swift
1577742895569	1577652741654	cAru	mfn. lovely
1577742895570	1577652741654	guru	mfn. heavy
1577742895571	1577652741654	mfdu	mfn. soft
1577742895572	1577652741654	svAdu	mfn. sweet
1577742895573	1577652741654	dAtf	mfn. generous
1577742895574	1577652741654	kartf	mfn. doer
1577742895575	1577652741654	jetf	mfn. victorious
1577742895576	1577652741654	vaktf	mfn. eloquent
1577742895577	1577652741654	gantf	mfn. going
1577742895578	1577652741654	vand vandate	A1. to salute
1577742895579	1577652741654	aDi-kzip aDikzipati	P1. to abuse
1577742895580	1577652741654	pad padyate	A4. to go, to obtain
1577742895581	1577652741654	vi-pad vipadyate	A4. to fall into misfortune
1577742895582	1577652741654	sam-pad sampadyate	A4. to prosper
1577742895583	1577652741654	asmad	pron. I
1577742895584	1577652741654	yuzmad	pron. you
1577742895585	1577652741654	tad	pron. that, he
1577742895586	1577652741654	etad	pron. this
1577742895587	1577652741654	SaraH	m. arrow
1577742895588	1577652741654	sUtaH	m. charioteer
1577742895589	1577652741654	stenaH	m. thief
1577742895590	1577652741654	DarmaH	m. duty
1577742895591	1577652741654	arTaH	m. wealth
1577742895592	1577652741654	muktiH	f salvation
1577742895593	1577652741654	gopAlaH	m. Gopala, cowherd
1577742895594	1577652741654	malahArakaH	m. sweeper
1577742895595	1577652741654	sumatiH	Sumati, good mind
1577742895596	1577652741654	pArizadaH	m. courtier
1577742895597	1577652741654	vaDaH	m. killing
1577742895598	1577652741654	darSanam	n. sight
1577742895599	1577652741654	aBiDeyam	n. name
1577742895600	1577652741654	vimUQa	mfn. bewildered
1577742895601	1577652741654	snih snihyati	P4. to feel affection (+Locative)
1577742895602	1577652741654	sev sevate	A1. to serve
1577742895603	1577652741654	kim	ind. what ?
1577742895604	1577652741654	samIpam	ind. near (+Genitive)
1577742895605	1577652741654	kataraH	m. which of the two
1577742895606	1577652741654	BfSam	ind. greatly, violently
1577742895607	1577652741654	niraparADa	mfn. innocent
1577742895608	1577652741654	pra-viS praviSati	P1. to enter
1577742895609	1577652741654	ava-lok avalokayati	P10. to see
1577742895610	1577652741654	idam	pron. this
1577742895611	1577652741654	adas	pron. that
1577742895612	1577652741654	A-gam AgacCati	P1. to come
